country,region_name,scenario,period,stress_index,yield_loss_pct,volume_at_risk_mt,annual_mt,sourcing_pct,scenario_name,year,risk_bucket
Tanzania,Kilimanjaro,ssp126,near_term,0.04066611920343713,0.020333059601718564,69.13240264584311,3400,2.0,Net-Zero 2050,2030,Low Risk (<20%)
Tanzania,Kilimanjaro,ssp126,mid_term,0.02971243797580246,0.01485621898790123,50.51114455886418,3400,2.0,Net-Zero 2050,2050,Low Risk (<20%)
Tanzania,Kilimanjaro,ssp245,near_term,0.033383514941786416,0.016691757470893208,56.75197540103691,3400,2.0,Delayed Transition,2030,Low Risk (<20%)
Tanzania,Kilimanjaro,ssp245,mid_term,0.0462221274963813,0.02311106374819065,78.57761674384821,3400,2.0,Delayed Transition,2050,Low Risk (<20%)
Tanzania,Kilimanjaro,ssp585,near_term,0.0384262580589857,0.01921312902949285,65.3246387002757,3400,2.0,Current Policies,2030,Low Risk (<20%)
Tanzania,Kilimanjaro,ssp585,mid_term,0.048808042408665646,0.024404021204332823,82.9736720947316,3400,2.0,Current Policies,2050,Low Risk (<20%)
Indonesia,Sumatra Aceh,ssp126,near_term,0.18385254517383876,0.09192627258691938,634.2912808497437,6900,4.0,Net-Zero 2050,2030,Low Risk (<20%)
Indonesia,Sumatra Aceh,ssp126,mid_term,0.24331849705800415,0.1324888727935031,914.1732222751714,6900,4.0,Net-Zero 2050,2050,Low Risk (<20%)
Indonesia,Sumatra Aceh,ssp245,near_term,0.2665230586845428,0.1498922940134071,1034.2568286925089,6900,4.0,Delayed Transition,2030,Low Risk (<20%)
Indonesia,Sumatra Aceh,ssp245,mid_term,0.3046925044693053,0.17851937835197895,1231.7837106286547,6900,4.0,Delayed Transition,2050,Low Risk (<20%)
Indonesia,Sumatra Aceh,ssp585,near_term,0.27866988223046063,0.15900241167284546,1097.1166405426336,6900,4.0,Current Policies,2030,Low Risk (<20%)
Indonesia,Sumatra Aceh,ssp585,mid_term,0.3806209955457598,0.23546574665931982,1624.7136519493067,6900,4.0,Current Policies,2050,Moderate Risk (20–40%)
Indonesia,Java West,ssp126,near_term,0.1687356095276773,0.08436780476383865,286.8505361970514,3400,2.0,Net-Zero 2050,2030,Low Risk (<20%)
Indonesia,Java West,ssp126,mid_term,0.13329367589391766,0.06664683794695883,226.59924901966002,3400,2.0,Net-Zero 2050,2050,Low Risk (<20%)
Indonesia,Java West,ssp245,near_term,0.10509250067640094,0.05254625033820047,178.6572511498816,3400,2.0,Delayed Transition,2030,Low Risk (<20%)
Indonesia,Java West,ssp245,mid_term,0.2186265682745725,0.11396992620592937,387.49774910015987,3400,2.0,Delayed Transition,2050,Low Risk (<20%)
Indonesia,Java West,ssp585,near_term,0.15101366985403003,0.07550683492701502,256.72323875185106,3400,2.0,Current Policies,2030,Low Risk (<20%)
Indonesia,Java West,ssp585,mid_term,0.26396414009667934,0.1479731050725095,503.10855724653226,3400,2.0,Current Policies,2050,Low Risk (<20%)
China,Yunnan Pu er,ssp126,near_term,0.03441369693656452,0.01720684846828226,58.50328479215968,3400,2.0,Net-Zero 2050,2030,Low Risk (<20%)
China,Yunnan Pu er,ssp126,mid_term,0.06654184531909413,0.033270922659547064,113.12113704246002,3400,2.0,Net-Zero 2050,2050,Low Risk (<20%)
China,Yunnan Pu er,ssp245,near_term,0.10868722740677184,0.05434361370338592,184.76828659151212,3400,2.0,Delayed Transition,2030,Low Risk (<20%)
China,Yunnan Pu er,ssp245,mid_term,0.16046620684606022,0.08023310342303011,272.79255163830237,3400,2.0,Delayed Transition,2050,Low Risk (<20%)
China,Yunnan Pu er,ssp585,near_term,0.1258892985403072,0.0629446492701536,214.01180751852223,3400,2.0,Current Policies,2030,Low Risk (<20%)
China,Yunnan Pu er,ssp585,mid_term,0.1808785361754708,0.0904392680877354,307.4935114983004,3400,2.0,Current Policies,2050,Low Risk (<20%)
Vietnam,Central Highlands,ssp126,near_term,0.2592484552415553,0.1444363414311665,375.53448772103286,2600,1.5,Net-Zero 2050,2030,Low Risk (<20%)
Vietnam,Central Highlands,ssp126,mid_term,0.08790386344632134,0.04395193172316067,114.27502248021774,2600,1.5,Net-Zero 2050,2050,Low Risk (<20%)
Vietnam,Central Highlands,ssp245,near_term,0.2651500099883415,0.14886250749125612,387.0425194772659,2600,1.5,Delayed Transition,2030,Low Risk (<20%)
Vietnam,Central Highlands,ssp245,mid_term,0.2995684394976124,0.1746763296232093,454.1584570203442,2600,1.5,Delayed Transition,2050,Low Risk (<20%)
Vietnam,Central Highlands,ssp585,near_term,0.2395767998257652,0.1296825998693239,337.17475966024216,2600,1.5,Current Policies,2030,Low Risk (<20%)
Vietnam,Central Highlands,ssp585,mid_term,0.32701369911711664,0.1952602743378375,507.67671327837746,2600,1.5,Current Policies,2050,Low Risk (<20%)
